automobile_factory_id;automobile_model_id
1;1
1;2
1;3
2;4
2;5
2;6
2;7
2;8
3;9
3;10
3;11
3;12
3;13
3;14
3;15
3;16
3;17
3;18
3;19
3;20
3;21
3;22
3;23
3;24
3;25
3;26
3;27
4;28
5;29
5;30
6;31
6;32
6;33
6;34
6;35
6;36
6;37
6;38
6;39
6;40
6;41
6;42
6;43
7;44
7;45
7;46
7;47
8;48
8;49
9;50
10;51
10;52
10;53
10;54
10;55
10;56
10;57
10;58
10;59
10;60
10;61
10;62
10;63
10;64
10;65
10;66
10;67
10;68
10;69
10;70
10;71
10;72
10;73
10;74
10;75
10;76
10;77
10;78
10;79
10;80
10;81
10;82
10;83
10;84
10;85
10;86
10;87
10;88
11;89
11;90
11;91
11;92
11;93
11;94
11;95
11;96
11;97
11;98
11;99
11;100
11;101
11;102
11;103
11;104
11;105
11;106
11;107
11;108
12;109
12;110
12;111
12;112
12;113
12;114
13;115
14;116
15;117
15;118
15;119
15;120
15;121
15;122
16;123
17;124
18;125
18;126
18;127
18;128
18;129
18;130
18;131
18;132
19;133
19;134
20;135
20;136
21;137
21;138
21;139
21;140
22;141
22;142
22;143
22;144
22;145
22;146
22;147
22;148
22;149
22;150
22;151
22;152
22;153
22;154
22;155
22;156
22;157
22;158
22;159
22;160
22;161
22;162
22;163
22;164
22;165
22;166
22;167
22;168
23;169
24;170
25;171
25;172
25;173
25;174
25;175
25;176
25;177
25;178
25;179
25;180
25;181
25;182
25;183
25;184
25;185
25;186
25;187
25;188
25;189
25;190
25;191
25;192
25;193
25;194
25;195
25;196
25;197
25;198
25;199
25;200
25;201
25;202
25;203
25;204
25;205
25;206
25;207
25;208
25;209
25;210
25;211
25;212
25;213
25;214
25;215
25;216
25;217
25;218
25;219
25;220
25;221
25;222
25;223
25;224
25;225
25;226
25;227
25;228
25;229
25;230
25;231
25;232
25;233
25;234
25;235
25;236
25;237
25;238
25;239
25;240
25;241
25;242
25;243
25;244
25;245
25;246
25;247
25;248
25;249
26;250
26;251
26;252
27;253
27;254
27;255
27;256
27;257
27;258
27;259
27;260
27;261
27;262
27;263
28;264
28;265
29;266
30;267
31;268
31;269
31;270
31;271
32;272
32;273
32;274
33;275
33;276
33;277
33;278
33;279
33;280
33;281
33;282
33;283
33;284
33;285
33;286
33;287
33;288
33;289
33;290
33;291
33;292
33;293
33;294
33;295
33;296
33;297
33;298
33;299
33;300
33;301
33;302
33;303
33;304
33;305
34;306
35;307
36;308
36;309
36;310
36;311
36;312
36;313
36;314
36;315
36;316
36;317
36;318
36;319
36;320
36;321
36;322
36;323
37;324
37;325
38;326
38;327
38;328
38;329
38;330
38;331
38;332
39;333
39;334
39;335
39;336
40;337
40;338
40;339
40;340
40;341
40;342
40;343
40;344
40;345
40;346
40;347
40;348
40;349
40;350
40;351
40;352
40;353
41;354
42;355
42;356
42;357
42;358
43;359
44;360
45;361
45;362
46;363
47;364
47;365
47;366
47;367
47;368
47;369
47;370
47;371
47;372
47;373
47;374
47;375
47;376
47;377
47;378
47;379
47;380
47;381
47;382
47;383
47;384
47;385
47;386
47;387
47;388
47;389
47;390
47;391
47;392
47;393
47;394
47;395
47;396
47;397
47;398
47;399
47;400
47;401
47;402
47;403
47;404
47;405
47;406
47;407
47;408
47;409
47;410
47;411
47;412
47;413
47;414
47;415
47;416
47;417
47;418
47;419
47;420
47;421
47;422
47;423
47;424
47;425
47;426
47;427
47;428
48;429
48;430
48;431
49;432
49;433
49;434
49;435
49;436
49;437
49;438
49;439
50;440
50;441
50;442
50;443
50;444
50;445
50;446
50;447
51;448
51;449
51;450
52;451
52;452
53;453
53;454
53;455
53;456
53;457
53;458
53;459
53;460
53;461
53;462
54;463
54;464
54;465
54;466
54;467
54;468
54;469
54;470
54;471
54;472
54;473
54;474
54;475
54;476
54;477
54;478
54;479
54;480
54;481
54;482
54;483
54;484
54;485
54;486
54;487
54;488
54;489
54;490
54;491
54;492
54;493
54;494
54;495
54;496
54;497
54;498
55;499
55;500
55;501
55;502
55;503
55;504
55;505
55;506
55;507
55;508
55;509
55;510
55;511
55;512
55;513
55;514
55;515
55;516
55;517
55;518
55;519
55;520
55;521
55;522
55;523
55;524
55;525
55;526
55;527
55;528
55;529
55;530
55;531
55;532
55;533
55;534
55;535
55;536
55;537
55;538
55;539
55;540
55;541
55;542
55;543
55;544
55;545
55;546
55;547
55;548
55;549
55;550
55;551
55;552
55;553
55;554
56;555
56;556
57;557
57;558
57;559
57;560
57;561
57;562
57;563
57;564
57;565
57;566
57;567
57;568
57;569
57;570
57;571
57;572
57;573
57;574
57;575
57;576
57;577
57;578
57;579
57;580
57;581
57;582
57;583
57;584
57;585
57;586
57;587
57;588
57;589
57;590
57;591
57;592
57;593
57;594
57;595
57;596
57;597
57;598
57;599
58;600
59;601
60;602
60;603
60;604
61;605
61;606
61;607
62;608
62;609
62;610
62;611
62;612
62;613
62;614
62;615
62;616
62;617
62;618
62;619
62;620
62;621
62;622
62;623
62;624
62;625
62;626
62;627
62;628
62;629
62;630
62;631
62;632
62;633
62;634
62;635
62;636
62;637
62;638
62;639
62;640
62;641
62;642
62;643
62;644
62;645
62;646
62;647
62;648
62;649
62;650
62;651
62;652
62;653
62;654
62;655
62;656
62;657
63;658
63;659
63;660
64;661
64;662
65;663
65;664
65;665
65;666
65;667
65;668
65;669
65;670
65;671
65;672
65;673
65;674
65;675
65;676
65;677
65;678
65;679
65;680
65;681
65;682
65;683
65;684
65;685
65;686
65;687
65;688
65;689
65;690
65;691
65;692
65;693
65;694
65;695
65;696
65;697
65;698
65;699
65;700
65;701
65;702
65;703
65;704
65;705
65;706
65;707
65;708
65;709
65;710
65;711
65;712
65;713
65;714
65;715
65;716
65;717
65;718
65;719
65;720
65;721
65;722
65;723
65;724
65;725
65;726
65;727
65;728
65;729
65;730
66;731
66;732
66;733
66;734
66;735
66;736
66;737
66;738
66;739
66;740
66;741
67;742
67;743
67;744
67;745
67;746
67;747
67;748
67;749
67;750
67;751
67;752
67;753
67;754
67;755
67;756
67;757
67;758
67;759
67;760
67;761
67;762
67;763
67;764
67;765
67;766
67;767
67;768
67;769
67;770
67;771
67;772
67;773
67;774
67;775
67;776
67;777
67;778
67;779
67;780
67;781
67;782
67;783
67;784
67;785
67;786
67;787
67;788
67;789
67;790
67;791
67;792
67;793
67;794
67;795
67;796
67;797
67;798
67;799
67;800
67;801
67;802
67;803
67;804
67;805
67;806
67;807
67;808
67;809
67;810
67;811
67;812
67;813
67;814
67;815
67;816
67;817
67;818
67;819
67;820
67;821
67;822
67;823
67;824
67;825
67;826
67;827
67;828
67;829
67;830
67;831
67;832
67;833
67;834
67;835
67;836
67;837
67;838
67;839
67;840
68;841
68;842
68;843
68;844
68;845
68;846
68;847
68;848
68;849
68;850
68;851
68;852
68;853
68;854
68;855
68;856
68;857
68;858
68;859
68;860
68;861
68;862
68;863
68;864
68;865
68;866
68;867
68;868
68;869
68;870
68;871
68;872
68;873
68;874
68;875
68;876
68;877
68;878
69;879
69;880
70;881
70;882
70;883
70;884
70;885
70;886
70;887
70;888
70;889
70;890
70;891
70;892
70;893
70;894
70;895
70;896
70;897
70;898
70;899
70;900
70;901
70;902
70;903
70;904
70;905
70;906
70;907
70;908
70;909
70;910
70;911
70;912
70;913
70;914
70;915
70;916
70;917
70;918
70;919
70;920
70;921
70;922
70;923
70;924
70;925
70;926
70;927
70;928
70;929
70;930
70;931
71;932
72;933
73;934
74;935
75;936
76;937
76;938
76;939
76;940
76;941
76;942
77;943
77;944
77;945
77;946
77;947
77;948
77;949
77;950
77;951
77;952
77;953
77;954
77;955
77;956
77;957
78;958
78;959
78;960
79;961
79;962
79;963
79;964
79;965
79;966
79;967
79;968
79;969
79;970
79;971
79;972
79;973
79;974
79;975
79;976
79;977
79;978
79;979
79;980
79;981
79;982
79;983
79;984
79;985
79;986
79;987
79;988
79;989
79;990
80;991
80;992
80;993
80;994
80;995
80;996
80;997
80;998
80;999
80;1000
80;1001
80;1002
80;1003
80;1004
80;1005
80;1006
80;1007
80;1008
80;1009
80;1010
80;1011
80;1012
80;1013
80;1014
80;1015
80;1016
80;1017
80;1018
80;1019
80;1020
80;1021
80;1022
80;1023
80;1024
80;1025
80;1026
80;1027
80;1028
80;1029
80;1030
80;1031
80;1032
80;1033
80;1034
80;1035
80;1036
80;1037
80;1038
80;1039
80;1040
80;1041
80;1042
80;1043
80;1044
81;1045
81;1046
81;1047
81;1048
81;1049
81;1050
81;1051
81;1052
81;1053
82;1054
83;1055
83;1056
83;1057
83;1058
83;1059
83;1060
83;1061
83;1062
83;1063
83;1064
83;1065
83;1066
83;1067
83;1068
83;1069
83;1070
83;1071
84;1072
84;1073
84;1074
85;1075
86;1076
86;1077
86;1078
87;1079
88;1080
88;1081
88;1082
88;1083
88;1084
88;1085
88;1086
88;1087
89;1088
89;1089
89;1090
89;1091
89;1092
89;1093
89;1094
90;1095
90;1096
90;1097
90;1098
91;1099
91;1100
91;1101
91;1102
91;1103
91;1104
92;1105
93;1106
93;1107
93;1108
93;1109
93;1110
93;1111
93;1112
93;1113
93;1114
93;1115
93;1116
93;1117
93;1118
93;1119
93;1120
93;1121
93;1122
93;1123
93;1124
93;1125
93;1126
93;1127
93;1128
93;1129
93;1130
93;1131
93;1132
93;1133
93;1134
93;1135
93;1136
93;1137
93;1138
93;1139
93;1140
93;1141
93;1142
93;1143
93;1144
93;1145
93;1146
94;1147
94;1148
94;1149
94;1150
94;1151
94;1152
94;1153
94;1154
94;1155
94;1156
94;1157
94;1158
94;1159
94;1160
94;1161
94;1162
94;1163
94;1164
94;1165
94;1166
94;1167
94;1168
94;1169
94;1170
94;1171
94;1172
94;1173
94;1174
94;1175
94;1176
94;1177
94;1178
94;1179
94;1180
94;1181
94;1182
94;1183
94;1184
94;1185
94;1186
94;1187
94;1188
94;1189
94;1190
94;1191
94;1192
94;1193
95;1194
95;1195
95;1196
95;1197
96;1198
96;1199
96;1200
96;1201
96;1202
96;1203
97;1204
97;1205
97;1206
97;1207
97;1208
97;1209
98;1210
98;1211
98;1212
98;1213
98;1214
98;1215
98;1216
98;1217
99;1218
99;1219
100;1220
100;1221
100;1222
100;1223
100;1224
101;1225
102;1226
102;1227
103;1228
104;1229
105;1230
105;1231
105;1232
105;1233
105;1234
105;1235
106;1236
106;1237
107;1238
108;1239
109;1240
110;1241
110;1242
110;1243
110;1244
110;1245
110;1246
110;1247
110;1248
110;1249
110;1250
110;1251
110;1252
110;1253
110;1254
110;1255
110;1256
110;1257
110;1258
110;1259
110;1260
110;1261
110;1262
110;1263
110;1264
111;1265
111;1266
111;1267
111;1268
111;1269
111;1270
111;1271
111;1272
111;1273
111;1274
111;1275
111;1276
111;1277
111;1278
111;1279
111;1280
111;1281
111;1282
111;1283
111;1284
111;1285
111;1286
111;1287
111;1288
111;1289
111;1290
111;1291
111;1292
111;1293
111;1294
111;1295
111;1296
111;1297
111;1298
111;1299
111;1300
111;1301
111;1302
111;1303
111;1304
111;1305
111;1306
111;1307
111;1308
111;1309
111;1310
111;1311
111;1312
111;1313
111;1314
112;1315
112;1316
112;1317
112;1318
112;1319
112;1320
112;1321
112;1322
112;1323
112;1324
112;1325
112;1326
112;1327
112;1328
112;1329
112;1330
112;1331
112;1332
112;1333
112;1334
112;1335
112;1336
112;1337
112;1338
112;1339
112;1340
112;1341
112;1342
112;1343
112;1344
112;1345
112;1346
112;1347
112;1348
112;1349
112;1350
112;1351
112;1352
112;1353
112;1354
112;1355
112;1356
112;1357
112;1358
112;1359
112;1360
112;1361
112;1362
112;1363
112;1364
112;1365
112;1366
112;1367
112;1368
112;1369
112;1370
112;1371
112;1372
112;1373
113;1374
113;1375
114;1376
115;1377
115;1378
115;1379
115;1380
115;1381
115;1382
115;1383
115;1384
115;1385
115;1386
115;1387
115;1388
115;1389
115;1390
115;1391
115;1392
115;1393
115;1394
115;1395
115;1396
115;1397
115;1398
115;1399
115;1400
115;1401
115;1402
115;1403
115;1404
115;1405
115;1406
115;1407
115;1408
115;1409
115;1410
115;1411
115;1412
115;1413
115;1414
115;1415
115;1416
115;1417
115;1418
115;1419
115;1420
115;1421
115;1422
115;1423
115;1424
115;1425
115;1426
115;1427
115;1428
115;1429
115;1430
115;1431
115;1432
115;1433
115;1434
115;1435
115;1436
115;1437
115;1438
115;1439
115;1440
115;1441
115;1442
115;1443
115;1444
115;1445
115;1446
115;1447
115;1448
115;1449
115;1450
115;1451
115;1452
115;1453
115;1454
115;1455
115;1456
115;1457
115;1458
115;1459
115;1460
115;1461
115;1462
115;1463
115;1464
115;1465
115;1466
115;1467
115;1468
115;1469
115;1470
115;1471
115;1472
115;1473
115;1474
115;1475
115;1476
115;1477
115;1478
115;1479
115;1480
115;1481
115;1482
116;1483
116;1484
116;1485
116;1486
116;1487
116;1488
116;1489
116;1490
116;1491
116;1492
116;1493
116;1494
116;1495
117;1496
117;1497
117;1498
117;1499
117;1500
117;1501
117;1502
117;1503
117;1504
118;1505
119;1506
